id,topic1,topic2,topic3,published_year
Treaps,Computer science,Data structures,,2018
Taylor_Models,Computer science,Data structures,,2018
IMAP-CRDT,Computer science,Data structures,,2017
Root_Balanced_Tree,Computer science,Data structures,,2017
CRDT,Computer science,Data structures,,2017
Random_BSTs,Computer science,Data structures,,2017
Refine_Imperative_HOL,Computer science,Data structures,,2016
Pairing_Heap,Computer science,Data structures,,2016
Word_Lib,Computer science,Data structures,,2016
ROBDD,Computer science,Data structures,,2016
Matrix_Tensor,Computer science,Data structures,,2016
List_Interleaving,Computer science,Data structures,,2015
Dynamic_Tables,Computer science,Data structures,,2015
Trie,Computer science,Data structures,,2015
Deriving,Computer science,Data structures,,2015
XML,Computer science,Data structures,,2014
Priority_Queue_Braun,Computer science,Data structures,,2014
Skew_Heap,Computer science,Data structures,,2014
Splay_Tree,Computer science,Data structures,,2014
Amortized_Complexity,Computer science,Data structures,,2014
Native_Word,Computer science,Data structures,,2013
IEEE_Floating_Point,Computer science,Data structures,,2013
Containers,Computer science,Data structures,,2013
Datatype_Order_Generator,Computer science,Data structures,,2012
List-Infinite,Computer science,Data structures,,2011
Finger-Trees,Computer science,Data structures,,2010
Binomial-Queues,Computer science,Data structures,,2010
Binomial-Heaps,Computer science,Data structures,,2010
Matrix,Computer science,Data structures,,2010
List-Index,Computer science,Data structures,,2010
Collections,Computer science,Data structures,,2009
FinFun,Computer science,Data structures,,2009
Huffman,Computer science,Data structures,,2008
BDD,Computer science,Data structures,,2008
FileRefinement,Computer science,Data structures,,2004
Lazy-Lists-II,Computer science,Data structures,,2004
BinarySearchTree,Computer science,Data structures,,2004
AVL-Trees,Computer science,Data structures,,2004
List_Power,Computer science,Functional programming,,2025
More_LazyLists,Computer science,Functional programming,,2024
BirdKMP,Computer science,Functional programming,,2020
Hello_World,Computer science,Functional programming,,2020
Generalized_Counting_Sort,Computer science,Functional programming,,2019
Binding_Syntax_Theory,Computer science,Functional programming,,2019
Monad_Memo_DP,Computer science,Functional programming,,2018
BNF_CC,Computer science,Functional programming,,2018
HOLCF-Prelude,Computer science,Functional programming,,2017
Optics,Computer science,Functional programming,,2017
Probabilistic_While,Computer science,Functional programming,,2017
Monomorphic_Monad,Computer science,Functional programming,,2017
Monad_Normalisation,Computer science,Functional programming,,2017
CryptHOL,Computer science,Functional programming,,2017
Applicative_Lifting,Computer science,Functional programming,,2015
Lifting_Definition_Option,Computer science,Functional programming,,2014
Stream_Fusion_Code,Computer science,Functional programming,,2014
XML,Computer science,Functional programming,,2014
Certification_Monads,Computer science,Functional programming,,2014
Show,Computer science,Functional programming,,2014
Partial_Function_MR,Computer science,Functional programming,,2014
Tail_Recursive_Functions,Computer science,Functional programming,,2013
Tycon,Computer science,Functional programming,,2012
Coinductive,Computer science,Functional programming,,2010
WorkerWrapper,Computer science,Functional programming,,2009
Stream-Fusion,Computer science,Functional programming,,2009
X86_Semantics,Computer science,Hardware,,2021
SPARCv8,Computer science,Hardware,,2016
Discrete-UCB,Computer science,Machine learning,,2025
No_Free_Lunch_ML,Computer science,Machine learning,,2025
Sigmoid_Universal_Approximation,Computer science,Machine learning,,2025
Inductive_Inference,Computer science,Machine learning,,2020
Deep_Learning,Computer science,Machine learning,,2016
IsaNet,Computer science,Networks,,2022
UPF_Firewall,Computer science,Networks,,2017
LOFT,Computer science,Networks,,2016
Iptables_Semantics,Computer science,Networks,,2016
Routing,Computer science,Networks,,2016
Simple_Firewall,Computer science,Networks,,2016
IP_Addresses,Computer science,Networks,,2016
Isabelle-Solidity,Computer science,Programming languages,,2026
Stratified_Datalog,Computer science,Programming languages,,2025
IMP_With_Speculation,Computer science,Programming languages,,2024
Solidity,Computer science,Programming languages,,2022
Clean,Computer science,Programming languages,,2019
Decl_Sem_Fun_PL,Computer science,Programming languages,,2017
LL1_Parser,Computer science,Programming languages,Compiling,2024
IMP_Compiler_Reuse,Computer science,Programming languages,Compiling,2022
IMP_Compiler,Computer science,Programming languages,Compiling,2021
VeriComp,Computer science,Programming languages,Compiling,2020
CakeML_Codegen,Computer science,Programming languages,Compiling,2019
Minimal_SSA,Computer science,Programming languages,Compiling,2017
Formal_SSA,Computer science,Programming languages,Compiling,2016
Density_Compiler,Computer science,Programming languages,Compiling,2014
NormByEval,Computer science,Programming languages,Compiling,2008
Compiling-Exceptions-Correctly,Computer science,Programming languages,Compiling,2004
Transport,Computer science,Programming languages,Lambda calculi,2023
ResiduatedTransitionSystem,Computer science,Programming languages,Lambda calculi,2022
